id,review_text,PhyID,platform
3103437,"My mother in law was diagnosed with colon cancer today. We were of course shocked and afraid, and spoke with her GI doctor, asking to speak with him immediately.  He asked us to come in, which we did, and he referred us to Dr. Martinez, who saw us as soon as we got to his office, 20 minutes later. He spent 30 minutes explaining everything,  and was very professional.  He completed a colonoscopy, was gentle and talked her through the whole thing.",100711211,Vitals
3606054,I am very satisfied.,100823913,Vitals
3483408,"I needed an ENT and since i dont require a primary see a specialist i was not referred to one. I have had Sinus problems since i can remember and i knew exactly what specialist i needed. I did a search for Ent's in the area and read all the reviews as most people would. Then I came about Dr. Shemen, Although some of his reviews were not the best... i did more research on him being i had seen him on ""the best"" list in the New York magazine. He has several articles out about my condition and he is also affiliated with some of the best hospitals in new york. He also has a web site that i found very informative and realized he had the most experience out of all the doctors I had done a search on. To make along story short, I made an appointment that i needed not wait to long for, when i went to the office the staff was very kind and my wait was about 15min (what office do you ever go to and dont have to wait, for those who complain) He was well worth the wait as he took his time with me and gave me several options to treat my chronic sinusitis. I have called the office since for refills and questions, and they are always helpful in anything i have needed. I truly recommend him. I have felt much better since i saw him and will keep him as my ENT doctor for as long as i need one.FYI: Do your search before you go simply by what other have to say.",100797376,Vitals
2349846,"I came into Winthrop Emergency Room after a fall that fractured my hip. Dr Barzideh met with me pre surgery. He came across as honest and direct in what the surgery would involve and what to expect post surgery including the varying timelines for rehabilitation. His manner was refreshing, authoritative an reassuring. His care and skill are apparent from the precision of his incisions and his follow-up",100538536,Vitals
2991163,"The staff at PSW work cohesively to provide a seamless experience for patients whether it's your first visit or your 50th. The overwhelming hospitality pre and post surgery is exceptional. Dr. Pisarenko's natural aesthetic is incomparable. For a client, like myself, who has enhanced features through reconstruction I can attest that Dr. Pisarenko is a visionary! I commute from the city to the Westchester office because it is just worth the distance! Thank you to all of the staff at PSW! Your work is thoroughly recognized!",100685460,Yelp
2783355,"My over all experience was great!! I when in kind of nervous not really knowing what to to expect, I'm 31 and back surgery was not in my plans. I have a lot going on in my MRI that was pretty much gibberish to me. Dr St Clair and his team took the time and explained everything to my wife and I.  They broke it down to make since to us going through image after images showing what's causing what and how we're going to fix it.  Then after that Dr. St Clair went over what the surgery will be and how the recovery should go!!! I'll let you guys know after surgery I'm holding off till August. Getting my stuff in order to be off for a couple months!!",100635182,HG
1570028,"I would not recommend Dr. Memon. I am bipolar with numerous other chronic conditions, and he did not ask for my records to be tranferred, just relied on what I told him. Waited 3 months to get initial appointment, which cost $375, and it only lasted 20 minutes of the 30 minutes I should have had.  Now I am waiting 4 months for next appointment. He was unavailable to change medication any earlier. Once I get correct rx, I will not go back to him. He seemed uncaring and uninterested in my problems.",100362053,Vitals
2138802,This was my first time seeing Dr. Antonetti due to my doctor's retirement.  I was very satisfied and would definitely recommend her to other women.,100487703,Vitals
4564855,Dr. Mehta is very professional and caring.  I would recommend him!,101046516,HG
3168966,"My family and I have been going to Dr. Pfaff for many years. I wasn't feeling well & called twice and left a message. I then called when they were open and spoke to the receptionist Marie. I told her who I was and she responded (in a nasty tone) ""You know you don't have to call three times."" She then said,""Well we can't fit you in anyway."" Her demeanor and bedside manner was unlike anything I've experienced. I told her that and she hung up on me. Very rude, especially when you don't feel well.",100725330,Vitals
1396815,"I came in with back pain and urinating blood. She sent me for an MRI, which I was scheduled same day. However, I was the one that had to call them and beg that they get me in because of the amount of pain I was in. She gave me a shot of Tordol and 600mg of ibuprofen, which gave some relief. All though very minimal I was in that much pain that anything would ease me a little. I was still in pain, probably 8 out of 10 and being modest. She explained that L-5 had been compressed and was pinching a nerve which was causing so much pain. I was referred to a neurosurgeon 4 weeks out!! I asked for something for pain. I had to ask because she was leaving without even offering anything. She said she didn't believe in pain meds stronger than ibuprofen 600mg and no reason for that not to suffice. I went to specialist after 4 weeks of pure misery. My specialist was at a loss for words. He immediately prescribed meds and scheduled surgery. If you have hurt yourself and in pain DO NOT GO TO THIS DR!!",100317925,HG
4930959,"Dr. Skalyni is truly the reason why i enjoyed pregnancy and labor/delivery so much. All my life I&#39;ve heard horror stories of women delivering babies and never have I thought I would actually enjoy my own pregnancy. Her presence during my labor put me at ease and gave me confidence in myself. She is genuine, straightforward, and very knowledgeable. She delivers all her babies and knows how to make the experience especially unique for you and your husband. <br><br>Last but not least, the girls at the office, Claudia and Angela, are amazing. Every time I visit they always make me feel like I&#39;ve known them all my life. They are super efficient when it comes to communicating, insurance and any general questions.",101127208,Yelp
1825008,Dr. Beck is meticulous with hos technique in injectables and body contouring. My 'tummy tuck' turned put better than I could have imagined.,100417653,Vitals
4677636,"She kept recommending unnecessary procedures. My intuition and understanding of my health indicated  her solution is not right; after consulting with other doctors proved that was unnecessary too. She is too busy and started to spend less time for each patient, and the scheduling/clinic organization is getting very messed up. I could wait for 1 hour with her only showing for 10 minutes or even no showing up.",101068228,HG
